Q_REFERENCE,COUNT,LAST_TIME
"검토완료라고 카톡왔는데 어플들어가면 검토중이라고 뜹니다",7,"2024-05-21 11:52:07"
"어플에서도 검토중이라고 뜨네요",5,"2024-05-21 11:55:57"
"종합소득세 검토완료라고 톡받았는데 아직도 어플에는 검토중으로 떠요",4,"2024-05-21 12:52:19"
"복식부기 대상자입니다. SSEM에서 종합소득세 신고 가능한가요?",3,"2024-05-21 15:07:54"
"청년창업 세액감면 해당여부는 어떻게 아나요?",3,"2024-05-21 14:55:17"
"자녀 영어학원 비용도 교육비 공제가 되나요?",3,"2024-05-21 14:53:26"
"이자 비용 처리 는 어디에 입력 하나요?",3,"2024-05-21 14:38:25"
"청년창업 세액감면 신청하려면 어떻게 해야하나요?",3,"2024-05-21 12:38:41"
"카카오톡 메세지로 종소세 검토 완료되었다고 해서 어플 들어가보니 아직 검토 중이네요 혹시 오발송된걸까요?",3,"2024-05-21 11:20:11"
"환급 안 들어왔어요",3,"2024-05-21 10:33:35"
